x,y
67.1242,32.101
67.1664,32.1154
67.2085,32.1297
67.2506,32.144
67.2927,32.1583
67.3347,32.1726
67.3768,32.1869
67.4189,32.2012
67.4609,32.2154
67.5029,32.2297
67.545,32.2439
67.587,32.2581
67.629,32.2723
67.6709,32.2865
67.7129,32.3006
67.7549,32.3148
67.7968,32.3289
67.8387,32.3431
67.8807,32.3572
67.9226,32.3713
67.9645,32.3853
68.0063,32.3994
68.0482,32.4135
68.0901,32.4275
68.1319,32.4415
68.1737,32.4555
68.2156,32.4695
68.2574,32.4835
68.2992,32.4975
68.3409,32.5115
68.3827,32.5254
68.4245,32.5393
68.4662,32.5533
68.508,32.5672
68.5497,32.581
68.5914,32.5949
68.6331,32.6088
68.6748,32.6226
68.7164,32.6365
68.7581,32.6503
68.7997,32.6641
68.8414,32.6779
68.883,32.6916
68.9246,32.7054
68.9662,32.7192
69.0078,32.7329
69.0494,32.7466
69.0909,32.7603
69.1325,32.774
69.174,32.7877
69.2156,32.8014
69.2571,32.815
69.2986,32.8287
69.3401,32.8423
69.3815,32.8559
69.423,32.8695
69.4645,32.8831
69.5059,32.8967
69.5473,32.9102
69.5888,32.9238
69.6302,32.9373
69.6716,32.9508
69.7129,32.9643
69.7543,32.9778
69.7957,32.9913
69.837,33.0047
69.8783,33.0182
69.9197,33.0316
69.961,33.045
70.0023,33.0584
70.0436,33.0718
70.0848,33.0852
70.1261,33.0986
70.1674,33.1119
70.2086,33.1253
70.2498,33.1386
70.291,33.1519
70.3322,33.1652
70.3734,33.1785
70.4146,33.1917
70.4558,33.205
70.4969,33.2182
70.5381,33.2315
70.5792,33.2447
70.6203,33.2579
70.6614,33.2711
70.7025,33.2842
70.7436,33.2974
70.7847,33.3105
70.8257,33.3237
70.8668,33.3368
70.9078,33.3499
70.9489,33.363
70.9899,33.3761
71.0309,33.3891
71.0719,33.4022
71.1128,33.4152
71.1538,33.4283
71.1948,33.4413
71.2357,33.4543
71.2766,33.4673
71.3176,33.4802
71.3585,33.4932
71.3994,33.5061
71.4402,33.5191
71.4811,33.532
71.522,33.5449
71.5628,33.5578
71.6037,33.5706
71.6445,33.5835
71.6853,33.5964
71.7261,33.6092
71.7669,33.622
71.8077,33.6348
71.8484,33.6476
71.8892,33.6604
71.9299,33.6732
71.9707,33.6859
72.0114,33.6987
72.0521,33.7114
72.0928,33.7241
72.1335,33.7368
72.1742,33.7495
72.2148,33.7622
72.2555,33.7748
72.2961,33.7875
72.3368,33.8001
72.3774,33.8127
72.418,33.8253
72.4586,33.8379
72.4992,33.8505
72.5397,33.8631
72.5803,33.8756
72.6208,33.8882
72.6614,33.9007
72.7019,33.9132
